CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM PURCHASE PRICE,KSM EQUIVALENT,USD returned at KSM price $33.32 ,TokenSymbol
0x22d7d38717474569ea63cbda595f4bbc0f1b640d,749,336.24,2.227674646,74.226,USDC
0x825c6a3983fef62030693e6ee90267747bcfbd8c,10,336.24,0.02974066143,0.991,DAI
0x0dec50b958d51fa29df7767e7298be834a897135,100,336.24,0.2974066143,9.910,USDC
0x42edc9e6a511bcc25503e1eff7ca77b635fb39ba,994.92079,336.24,2.958960237,98.593,USDC
0x07a1f6fc89223c5ebd4e4ddae89ac97629856a0f,"19,488.97",336.24,57.96149185,"1,931.277",USDC
0x8d5f05270da470e015b67ab5042bdbe2d2fefb48,197,336.24,0.5865168243,19.543,USDC
0xae7ae37d9d97abc1099995036f17701fd55cefe5,"1,958.86",336.24,5.825785667,194.115,DAI
0x2ff0ad27418a9d211cad22e0c11a1255abb5b3aa,10,338.64,0.02952988424,0.984,USDC
0xcbe33f591c334507b698de21e9b6eecb1b73e7ec,"10,000",338.64,29.52988424,983.936,USDC
0xb7d9945166e3da89ee4c0947230753d656d116a5,"1,000",338.64,2.952988424,98.394,USDC
0x70e29afdccdd6012e4785f60168e46a68f4b1a42,582.2109912,338.64,1.719262317,57.286,DAI
0x52d597334a853cfc0e5afde7e813ae5a7e965176,10,338.64,0.02952988424,0.984,USDC
0x52d597334a853cfc0e5afde7e813ae5a7e965176,10.00,338.64,0.02952988424,0.984,USDC
0xa1d3aebf32163c96ef9a5ebaa38981e04ea41365,"2,015.18",338.64,5.950799991,198.281,USDC
0x74b4b8c7cb9a594a6440965f982def10bb9570b9,672.95,338.64,1.987218923,66.214,USDC
0x09988e9aeb8c0b835619305abfe2ce68fea17722,119.62,338.64,0.3532376181,11.770,USDC
0x3465d93b84ed7557d42d84cb7c8999fc3db2113d,"5,000",338.64,14.76494212,491.968,USDC
0xb032f8989e7634c6f5660155662f6d8c14a22ef1,"1,786.43",338.64,5.275299749,175.773,USDC
0x231919835aa6c37092ba56200e477a39d31f25b2,316,338.64,0.9326172868,31.075,USDC
0x1d80767d1c03286843212076333d8252f2044b16,33,338.64,0.09699192828,3.232,DAI
0xadff0346501fbf58b193d1be7dbff16eb3be2754,118,338.64,0.3484526341,11.610,USDC
0x71a15ac12ee91bf7c83d08506f3a3588143898b5,101.00,338.64,0.2982518309,9.938,DAI
0xcf6c9980cdbbc3abdcc2ef896323fcdbb6159df1,10,338.64,0.02952988424,0.984,USDC
0x01ffcc7285866e5cee14c8e807cb2e8d5f61079f,"10,000",338.64,29.52988424,983.936,DAI
0x9325564ade7683706107685cf1993678b1163261,"1,500",338.64,4.429482636,147.590,USDC
0x65b8ee88cd729b00c574884f3404678bac479dab,"1,095.17",338.64,3.234022962,107.758,USDC
0x182a72b9dd205177ad9c31fafb824195cc69fbe5,1,338.64,0.002952988424,0.098,DAI
0x3cd5c6d4248bed58495ac94945a12face2b6f198,"1,095",338.64,3.233522325,107.741,USDC
0x6a815735471dbd0f85c51b115b728a247abe0cf4,5,338.64,0.01476494212,0.492,USDC
0xc08c7d598fb8026a8bbd698ee0d5a0199db880ff,"10,000",338.64,29.52988424,983.936,USDC
0x3bb3fc70627c457093159a9125dc836c40d9acd8,"5,000",338.64,14.76494212,491.968,USDC
0x7f7b32c998083d66de56602d75bc820b768c721b,"38,000",338.64,112.2135601,"3,738.956",USDC
0x0aa2ccbf88c4e03fb25e0e6a7219a7ae9764380a,"1,040",338.64,3.071107961,102.329,USDC
0x4a6b57491c6537abaad435ec4c48f7452817ac94,"47,098",338.64,139.0798488,"4,634.141",USDT
0xa3d3b7f97ab0aca3072a4161851db89bcb292f7f,500,338.64,1.476494212,49.197,DAI
0xecf74b69aad56feaf896b8d71b7b4303dce984da,"1,557.59",338.64,4.599549182,153.257,USDC
0xa1d3aebf32163c96ef9a5ebaa38981e04ea41365,"7,985",338.64,23.57961257,785.673,USDC
0xe41a11a4cb8a5a57d3bee3719c391435af29b978,"2,075.99",338.64,6.130385755,204.264,USDT
0x6eca078edc94b955d38f826cb46ba1407cda152d,"2,000",338.64,5.905976849,196.787,USDC
0x8090bb265b6d4f2cd21b8d154a47ea74260d3390,"1,005.06",338.64,2.967942668,98.892,USDT
0x5b06b44a66e5345661f6e4596f3a20da19eec1ee,"4,699.60",338.64,13.87785224,462.410,USDT
0x864a2b0f12b90a8dfd38f5e93ac6dc169dc0df5c,"1,000",338.64,2.952988424,98.394,USDC
0x813d2bde8609df7077e8944a20db4eb21bc3f04f,55,338.64,0.1624143633,5.412,USDT
0xf2e2c98164ac3f4931ce56e2721d44a00455e55f,"2,600",338.64,7.677769903,255.823,USDT
0x2fa2cf37b1a330389b1cf8b985f71ff76a980ac4,"1,000",338.64,2.952988424,98.394,DAI
0x415fce36e2dc12421f20b93dbad1dd68bd2f6db6,"5,936.70",338.64,17.53101715,584.133,USDC
0xa3b31b5292600d48172cfe3b588a8406a41f42b7,"5,000",338.64,14.76494212,491.968,USDC
0xf9263986be319e0444b600a73501ef7689cdb022,"20,068.97",338.64,59.2634361,"1,974.658",USDT
0x087de07b6e716185b8eb4f707818d4b6fe1bb794,800,338.64,2.362390739,78.715,USDT
0xa911ccf5f6c7bd5fb25188d41a536890c3c8fae5,"10,000",338.64,29.52988424,983.936,USDT
0xd56ee5ba5a52e15f309108bdd6247c69b4f624c2,"3,000",338.64,8.858965273,295.181,USDT
0x0c387030a5d3acdcde1a8ddaf26df31bbc1ce763,259.98,338.64,0.7677179305,25.580,USDC
0xcb726f13479963934e91b6f34b6e87ec69c21bb9,"5,000",338.64,14.76494212,491.968,USDT
0x197305c1f2266dfcfffe52dea4b2b6ed2ec7d3b7,"2,000",338.64,5.905976849,196.787,DAI
0x14eecf2f25d695d29596732f7523b5e1274660d9,"4,962.34",338.64,14.65372756,488.262,USDC
0xe225c1296fd172f7dab917421f87e8cfa18a9f20,"5,000",338.64,14.76494212,491.968,USDT
0x949da077579dee261b08f729b2f70a2c2c123495,"2,000",338.64,5.905976849,196.787,DAI
0xfcfd3601862c7f5c6d2f743e0d4c28211b45d704,300.00,338.64,0.8858965273,29.518,USDT
0xa3f2d88fb722d4f2a082edbf98354b81dc34829e,"3,904.26",338.64,11.52923266,384.154,USDC
0xa7a9e6137d2582fc8bddad6a6daeb8fb985396f2,"1,467.02",338.64,4.332102923,144.346,USDT
0x0da5709210763a8e4840add60672d2bff8e534f8,483.18,338.64,1.426824947,47.542,USDC
0x03db74df4ef8b29fe210abcf027c757747c14f00,"1,000",338.64,2.952988424,98.394,USDC
0xa3f2d88fb722d4f2a082edbf98354b81dc34829e,"3,582.15",338.64,10.57804074,352.460,USDC
0x62e560167c333fb919034d1bd3a286f3104b0d3f,700.00,338.64,2.067091897,68.876,DAI
0x79252d8f9019f08012881ce1d71af86879351fa8,501,338.64,1.479447201,49.295,USDC
0x1877a64a37778e58ac2646107ece72a24d07021d,3,338.64,0.009936871013,0.331,USDT
0x9bcc57d24f1d154f73c19e92c78ae87b86683cfe,"1,000",338.64,2.952988424,98.394,USDT
0x5280537847c00723a2e710349390bff199661cd3,"1,355.52",338.64,4.002836466,133.375,USDC
0xcab5b71ef27aa7427ec7a87d95ffc0e7e3434565,"1,000",338.64,2.952988424,98.394,USDC
0x8aa60881dde54833fd2e2186ee7a9661440c16a1,"1,025",338.64,3.026813135,100.853,USDC
0xcec771b3ab9204c4eb0b731111658e7c8ba539cf,500.00,338.64,1.476494212,49.197,USDC
0x92d7aac06d1f44e3153b1c89f6c3d918d906691c,"2,500",338.64,7.382471061,245.984,USDT
0xa92a40457e419c5ec245a646da09112cdcc6cfb6,40,338.64,0.118119537,3.936,USDC
0xd384f5d32ae6fd285a63f5232ff10f1696919233,5.99,338.64,0.01767574526,0.589,DAI
0x3c8cbd613857965267bcd4bdec7b794dd53969a0,"10,000",338.64,29.52988424,983.936,USDC
0xe57afd4faedae0862d95ab713a053df0136f6ba2,6.49,338.64,0.01916489487,0.639,DAI
0x8f701b0732750378c7773bb07324a90e221bdc30,"5,259.11",338.64,15.53008353,517.462,USDT
0xf7f1852a70278fe87e42a8aa1e93b94244b8b13a,"1,790",338.64,5.285849279,176.124,USDC
0x44be98130fb63eb3a068929ef3a102f15c2e6159,"1,500",338.64,4.429482636,147.590,USDC
0xa7a9e6137d2582fc8bddad6a6daeb8fb985396f2,"4,976",364.6,13.64783324,454.746,USDT
0x4cf8be01027ad66c4939181a5b8c5b2b281771f0,"1,000",364.6,2.742731761,91.388,USDC
0x1cf6012cabeeb53d84fb33c05e2c2b6a3478eef7,75.00,364.6,0.2057048821,6.854,USDC
0x142f5aa531b69b10b04a7a53cb9f318d894bd4a4,"17,266.33",364.6,47.35691953,"1,577.933",USDC
