CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM EQUIVALENT,USD returned at KSM price $33.32 ,USD returned at KSM price $33.32 (INCL 2.1% FEE),TokenSymbol
0x96e3e323966713a1f56dbb5d5bfabb28b2e4b428,275,11.94115399,397.879,389.5237868,USDT
0xe1a16274d48bfded0db57ff6534caa270ff1f637,"10,000",0.04776461597,1.592,1.558095147,USDT
0xabca2289f0d03773e8b102248997e854aa36cd21,421.695624,9.814983471,327.035,320.167509,USDC
0x65685914465e7f6e70624b8bbd1c66be0411923e,"1,000",0.0007992835308,0.027,0.02607285257,USDT
0x4a4b9a1553dadb071fe6a53bfe909ec08cb6ce35,"1,000",0.4259760628,14.194,13.89545844,USDT
0x2d0cedaab10b02786d18023a07af0861fc2b079f,970.42,0.9348675375,31.150,30.49564083,DAI
0x2d0cedaab10b02786d18023a07af0861fc2b079f,100,0.7731611793,25.762,25.22073415,USDT
0x6221b8772e58e7b114d7b8e4ee400bfa8bf57986,"10,000",119.4115399,"3,978.793",3895.237868,USDT
0x33da9340402a97398d3c47b04031eac169674419,"2,000",14.32938479,477.455,467.4285441,USDT
0xc6db1db370fb85b72610947e536c3e7599b42e72,"79,733.66",597.0576997,"19,893.963",19476.18934,USDC
0x54b55662901af57b31fb6b52af8175b652a5816e,110,597.0576997,"19,893.963",19476.18934,USDC
0xa25a1e84befc5ff5ec562af1409dc8994e91eda7,"1,000",0.3510983879,11.699,11.45292772,USDC
0xbe3a04a2683073422ea8db63011e70166f32438e,"30,000",0.9552923194,31.830,31.16190294,USDC
0xcf304823d4d0d8822648a66adbf67bc57f6dd350,"8,702.15",17.17995423,572.436,560.4149174,USDC
0x75c6a16c453fb81a7c4e8721e3541934867b451c,"60,262.66",55.04746536,"1,834.182",1795.663733,USDC
0x115143bd6eb248bb9dee04bb96aed0637f7b5990,"2,000",0.2674818494,8.912,8.725332824,USDT
0xb212f44df6970f25d80e1b91b7bf3e8a9ae93c2d,"1,000",28.71369889,956.740,936.6488977,USDC
0xb212f44df6970f25d80e1b91b7bf3e8a9ae93c2d,9.999806,23.88230799,795.759,779.0475736,USDC
0x97b102e00d88f02debfd6b1e4b901dd6931bb982,"5,000",1.239771882,41.309,40.44170593,USDC
0xa4fdc2103b412cc142bd7715dabab06f08ef842b,201.719956,247.9543764,"8,261.840",8088.341185,USDC
0x672ad3627e357d3fd06472c316f6075f0dcae553,6.617335,24.74697292,824.569,807.2531858,USDT
0x542f5de6a607621fa3cf3083a445a249007ecf8e,215,2.479543764,82.618,80.88341185,USDC
0x4f3936c02c5be0112747cc19311b5074bbed8475,749.033323,1.160093434,38.654,37.84257265,USDT
0x23b85204dfda7477371998727109fd89dcd3fcf1,100,24.79543764,826.184,808.8341185,USDC
0x8e2160a024ca85810e5bafba77ea332800c2b231,994.92079,10.64664454,354.746,347.2965258,USDC
0x3afd89fa00827c5195265d537a5a29172cee5b3a,"19,488.97",4.339201587,144.582,141.5459707,USDT
0x7421698e7e607d399e5a5d7a727886d39a6432f3,197.210417,2.479543764,82.618,80.88341185,USDT
0x354029b0d5c417fed5f22522d3a1325b5397df8e,10,1.239771882,41.309,40.44170593,USDT
0xbbddd093d7c303eabedd9efc81d1c70f28dd17e8,"10,000",3083.007037,"102,725.794",100568.5528,USDC
0xe89798bf02929545eeeb4e26d2aa49b2decb894f,"1,000",1.239771882,41.309,40.44170593,USDC
0xa911ccf5f6c7bd5fb25188d41a536890c3c8fae5,10,29.74066143,990.959,970.1487033,USDC
0xbbddd093d7c303eabedd9efc81d1c70f28dd17e8,10,804.630621,"26,810.292",26247.27615,USDC
0xe6c58978d013b757eb315bd6fd776bee2ee2b63c,"2,015.18",11.83083512,394.203,385.9251542,USDC
0x3247da930721fadf467dcfaa2e211fa309381371,672.951816,0.8178681894,27.251,26.67908934,USDC
0x2549bb64f069a4c1f02e80a6707486b689f8faab,119.620387,1.020103191,33.990,33.27605172,USDT
0xcb114805b901f7a9c38d5675272ef26459a7d805,"5,000",29.74066143,990.959,970.1487033,USDC
